Driver,Cla,Chassis,Engine,1,1.1,2,2.1,3,3.1,4,4.1
Valtteri Bottas,1,Mercedes,Mercedes,US,24,SS,34,,,,
Lewis Hamilton,2,Mercedes,Mercedes,US,27,SS,31,,,,
Sebastian Vettel,3,Ferrari,Ferrari,US,23,SS,35,,,,
Kimi Raikkonen,4,Ferrari,Ferrari,US,18,SS,40,,,,
Max Verstappen,5,Red Bull,TAG,US,17,SS,41,,,,
Daniel Ricciardo,,Red Bull,TAG,US,22,SS,1,,,,
