Driver,Cla,Chassis,Engine,1,1.1,2,2.1,3,3.1
Lewis Hamilton,1,Mercedes,Mercedes,US,10,SS,48,,
Sebastian Vettel,2,Ferrari,Ferrari,US,18,SS,40,,
Max Verstappen,3,Red Bull,TAG,HS,20,SS,38,,
Daniel Ricciardo,4,Red Bull,TAG,US,37,SS,22,,
Valtteri Bottas,5,Mercedes,Mercedes,US,19,SS,24,US,15
Kimi Raikkonen,,Ferrari,Ferrari,US,10,,,,
