Driver,Cla,Chassis,Engine,1,1.1,2,2.1,3,3.1
Lewis Hamilton,1,Mercedes,Mercedes,M,29,H,29,,
Max Verstappen,2,Red Bull,Honda,M,28,H,30,,
Charles Leclerc,3,Ferrari,Ferrari,M,15,H,26,S,17
Valtteri Bottas,4,Mercedes,Mercedes,M,32,H,26,,
Sebastian Vettel,5,Ferrari,Ferrari,S,15,H,26,M,17
Alex Albon,6,Red Bull,Honda,M,16,H,42,,
