Driver,Cla,Chassis,Engine,1,1.1,2,2.1,3,3.1,4,4.1
Max Verstappen,1,Red Bull,Honda,S,16,H,23,H,17,S,5
Lewis Hamilton,2,Mercedes,Mercedes,M,17,H,44,,,,
Carlos Sainz,3,Ferrari,Ferrari,S,22,H,39,,,,
Valtteri Bottas,6,Mercedes,Mercedes,M,35,H,28,,,,
Charles Leclerc,10,Ferrari,Ferrari,S,18,H,20,M,23,,
Sergio Perez,15,Red Bull,Honda,S,24,H,15,H,17,,
