Driver,Cla,Chassis,Engine,1,1.1,2,2.1,3,3.1
Max Verstappen,1,Red Bull,Red Bull,M,20,H,38,,
Charles Leclerc,2,Ferrari,Ferrari,M,21,H,37,,
Sergio Perez,3,Red Bull,Red Bull,M,15,H,18,H,25
Carlos Sainz,4,Ferrari,Ferrari,M,17,H,22,H,19
George Russell,5,Mercedes,Mercedes,M,15,H,24,M,19
Lewis Hamilton,18,Mercedes,Mercedes,M,18,H,37,,
