Driver,Cla,Chassis,Engine,1,1.1,2,2.1,3,3.1,4,4.1,5,5.1
Nico Rosberg,1,Mercedes,Mercedes,SS,13,S,21,S,24,,,,
Lewis Hamilton,2,Mercedes,Mercedes,SS,14,S,30,S,14,,,,
Kimi Raikkonen,3,Ferrari,Ferrari,SS,13,S,22,S,23,,,,
Sebastian Vettel,4,Ferrari,Ferrari,S,23,S,16,SS,16,,,,
Daniel Ricciardo,6,Red Bull,Renault,SS,9,S,20,S,29,,,,
Daniil Kvyat,10,Red Bull,Renault,SS,8,S,20,S,30,,,,
