Driver,Cla,Chassis,Engine,1,1.1,2,2.1,3,3.1,4,4.1
Lewis Hamilton,1,Mercedes,Mercedes,US,10,S,21,S,27,,
Nico Rosberg,2,Mercedes,Mercedes,US,11,S,21,S,26,,
Sebastian Vettel,3,Ferrari,Ferrari,US,11,S,29,SS,18,,
Max Verstappen,4,Red Bull,TAG,SS,24,S,34,,,,
Daniel Ricciardo,5,Red Bull,TAG,SS,12,S,15,S,31,,
Kimi Raikkonen,6,Ferrari,Ferrari,US,10,S,18,S,30,,
