Driver,Cla,Chassis,Engine,1,1.1,2,2.1,3,3.1,4,4.1
Max Verstappen,1,Red Bull,Honda,M,13,H,45,,,,
Valtteri Bottas,2,Mercedes,Mercedes,M,13,H,45,,,,
Lewis Hamilton,3,Mercedes,Mercedes,M,13,H,45,,,,
Alex Albon,4,Red Bull,Honda,S,13,H,45,,,,
Charles Leclerc,13,Ferrari,Ferrari,M,25,H,32,,,,
Sebastian Vettel,14,Ferrari,Ferrari,H,35,M,19,,,,
